url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at,source,live_videos_count
https://www.youtube.com/@%d0%92%d0%bb%d0%b0%d0%b4%d0%b8%d0%bc%d0%b8%d1%80%d0%9a%d0%be%d0%b2%d0%b0%d0%bb%d1%8c%d1%87%d1%83%d0%ba-%d0%bd2%d0%be,@%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%8C%D1%87%D1%83%D0%BA-%D0%BD2%D0%BE,Владимир Владимирович,1080,214,5,Titles show detailed chainsaw/trimmer repair steps like carburetor replacement and recoil starter installation.,ремонт бензопилы,UCFVgEc5V2eIyf7jDZn0G_uw,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,214
https://www.youtube.com/@%d0%9c%d0%be%d1%82%d0%be%d0%96%d0%b8%d0%b7%d0%bd%d1%8c88,@%D0%9C%D0%BE%D1%82%D0%BE%D0%96%D0%B8%D0%B7%D0%BD%D1%8C88,МотоЖизнь 88,574,50,5,Dedicated channel for Soviet motorcycle repair.,ремонт мотоцикла,UCF-vS7De9bZeTz6QAct9u9A,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,50
https://www.youtube.com/@%d0%a0%d0%b5%d0%bc%d0%be%d0%bd%d1%82%d1%81%d0%b0%d0%b4%d0%be%d0%b2%d0%be%d0%b9%d1%82%d0%b5%d1%85%d0%bd%d0%b8%d0%ba%d0%b8,@%D0%A0%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%81%D0%B0%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8,Ремонт садовой техники,60000,159,5,"Dedicated garden equipment repair channel covering trimmers, chainsaws, cultivators, mowers.",ремонт бензопилы,UCXojtZzYUQ8rgV_noOINBHQ,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,159
https://www.youtube.com/@%d0%a0%d0%b5%d0%bc%d0%be%d0%bd%d1%82%d1%81%d0%ba%d1%83%d1%82%d0%b5%d1%80%d0%b0%d0%b2%d0%b3%d0%b0%d1%80%d0%b0%d0%b6%d0%b5,@%D0%A0%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%D1%81%D0%BA%D1%83%D1%82%D0%B5%D1%80%D0%B0%D0%B2%D0%B3%D0%B0%D1%80%D0%B0%D0%B6%D0%B5,Ремонт скутера в гараже,2200,51,5,Dedicated scooter repair channel covering engine and electrical repair in garage setting.,ремонт мотоцикла | ремонт скутера,UCJYwk0i9rvOKCHhN6R9I_rQ,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,51
https://www.youtube.com/@%d0%a0%d0%b5%d0%bc%d0%be%d0%bd%d1%82-%d0%b1%d0%b5%d0%bd%d0%b7%d0%be%d0%b8%d0%bd%d1%81%d1%82%d1%80%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d0%b0-.19,@%D0%A0%D0%B5%D0%BC%D0%BE%D0%BD%D1%82-%D0%B1%D0%B5%D0%BD%D0%B7%D0%BE%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0-.19,Мастерская у Сергеевича.Ремонт бензоинструмента ,344,80,5,"Dedicated gas-tool repair workshop covering chainsaws, trimmers and generators explicitly.",ремонт бензопилы,UCqGbXNCGXg7KgNyRAjSSHTQ,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,80
https://www.youtube.com/@%d0%a1%d0%be%d0%b2%d0%b4%d0%b5%d0%bf%d0%9c%d0%be%d1%82%d0%be%d1%80%d1%81,@%D0%A1%D0%BE%D0%B2%D0%B4%D0%B5%D0%BF%D0%9C%D0%BE%D1%82%D0%BE%D1%80%D1%81,Совдеп Моторс,4950,80,5,"Detailed hands-on engine rebuild, boring pistons, wiring and electrical work on Soviet mopeds/motorcycles.",ремонт мотоцикла,UC-sKdFfTeABm-OF52BESs9Q,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,80
https://www.youtube.com/@%d9%85%d9%8a%d9%83%d8%a7%d9%86%d9%8a%d9%83%d9%8a_%d8%a7%d9%84%d9%85%d9%88%d8%aa%d9%88%d8%b3%d9%8a%d9%83%d9%84%d8%a7%d8%aa_%d8%a7%d9%84%d8%b5%d9%8a%d9%86%d9%8a,@%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83%D9%8A_%D8%A7%D9%84%D9%85%D9%88%D8%AA%D9%88%D8%B3%D9%8A%D9%83%D9%84%D8%A7%D8%AA_%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A,Tito Doctor scooter ,216,63,5,"Scooter/motorcycle repair workshop with titles showing oil, engine service work on Chinese scooters.",ميكانيكا دراجات نارية,UCACVYmHFi8iezLPI48zNEBg,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,63
https://www.youtube.com/@%e0%b8%8a%e0%b9%88%e0%b8%b2%e0%b8%87%e0%b8%a7%e0%b8%b8%e0%b8%98%e0%b8%99%e0%b8%b2%e0%b8%9b%e0%b9%88%e0%b8%b2%e0%b9%80%e0%b8%8b%e0%b8%ad%e0%b8%a3%e0%b9%8c%e0%b8%a7%e0%b8%b4%e0%b8%aa,@%E0%B8%8A%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B8%E0%B8%98%E0%B8%99%E0%B8%B2%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%AA,ช่างวุธ นาป่า เซอร์วิส,29800,96,5,"Dedicated channel teaching motorcycle repair techniques to viewers, core hands-on repair content.",ซ่อมมอเตอร์ไซค์,UCZbS4lmy44JvzI2I8qbEcuQ,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,96
https://www.youtube.com/@2strokeengine786,@2strokeengine786,2strokeengine ,1010,55,5,"Dedicated 2-stroke engine repair channel covering chainsaws, brush cutters and sprayers with hands-on fixes.",chainsaw repair,UCDISvxugr6J86pg7gxNfW6g,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,55
https://www.youtube.com/@3d_trio,@3D_trio,Craftsman repair channel,503,259,5,Professional gas/electric tool repair and maintenance channel with service business focus.,ремонт бензопилы,UCax5g5Bh8Io0fjrrwv3gV7w,hands,motorcycle-small-engine-repair,wave1,2026-09-14,scraper,259
